URL,状态码,标题,服务器信息,指纹ID,指纹名称,响应头,匹配结果,备注
https://www.baidu.com,200,,BWS/1.1,[finger demo，finger demo，finger demo，finger demo],[5，1，4，3],"HTTP/1.1 200 OK\nServer: BWS/1.1\naccept-ranges: bytes\ncache-control: max-age=86400\ncontent-length: 194\ncontent-type: text/html\ndate: Thu, 03 Apr 2025 06:49:39 GMT\netag: ""c2-51112534a1200""\nexpires: Fri, 04 Apr 2025 06:49:39 GMT\nlast-modified: Thu, 12 Mar 2015 07:28:08 GMT\np3p: CP="" OTI DSP COR IVA OUR IND COM ""\nserver: Apache\nset-cookie: BAIDUID=518143250C39BA1D649E629A6FEB3C3B:FG=1; expires=Fri, 03-Apr-26 06:49:39 GMT; max-age=31536000; path=/; domain=.baidu.com; version=1\nvary: Accept-Encoding,User-Agent\n",true,发现4个指纹
https://www.360.com,200,360官网 -360安全中心 - 360安全软件 - 360智能硬件 - 360智能家居 - 360企业服务,nginx,[finger demo，finger demo，finger demo],[1，5，4],"HTTP/1.1 404 Not Found\nServer: nginx\ncontent-length: 162\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:49:39 GMT\nserver: nginx\n",true,发现3个指纹
https://www.sougou.com,200,搜狗宠物天下,,[finger demo，finger demo，finger demo],[5，1，4],"HTTP/1.1 403 Forbidden\ncontent-length: 251\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:49:40 GMT\nretry-after: 5\nserver: Varnish\nx-cache: synth synth\nx-varnish: 6340064\n",true,发现3个指纹
https://www.baidu.com,200,,BWS/1.1,[finger demo，finger demo，finger demo，finger demo],[1，4，5，3],"HTTP/1.1 200 OK\nServer: BWS/1.1\naccept-ranges: bytes\ncache-control: max-age=86400\ncontent-length: 194\ncontent-type: text/html\ndate: Thu, 03 Apr 2025 06:49:57 GMT\netag: ""c2-51112534a1200""\nexpires: Fri, 04 Apr 2025 06:49:57 GMT\nlast-modified: Thu, 12 Mar 2015 07:28:08 GMT\np3p: CP="" OTI DSP COR IVA OUR IND COM ""\nserver: Apache\nset-cookie: BAIDUID=4AF3C25FE9BAE595F9ED29C2E4B7A7F7:FG=1; expires=Fri, 03-Apr-26 06:49:57 GMT; max-age=31536000; path=/; domain=.baidu.com; version=1\nvary: Accept-Encoding,User-Agent\n",true,发现4个指纹
https://www.sougou.com,200,搜狗宠物天下,,[finger demo，finger demo，finger demo],[5，1，4],"HTTP/1.1 403 Forbidden\ncontent-length: 251\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:49:57 GMT\nretry-after: 5\nserver: Varnish\nx-cache: synth synth\nx-varnish: 3382393\n",true,发现3个指纹
https://www.360.com,200,360官网 -360安全中心 - 360安全软件 - 360智能硬件 - 360智能家居 - 360企业服务,nginx,[finger demo，finger demo，finger demo],[1，4，5],"HTTP/1.1 404 Not Found\nServer: nginx\ncontent-length: 564\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:49:57 GMT\nserver: nginx\n",true,发现3个指纹
https://www.baidu.com,200,,BWS/1.1,[finger demo，finger demo，finger demo，finger demo],[5，1，4，3],"HTTP/1.1 200 OK\nServer: BWS/1.1\naccept-ranges: bytes\ncache-control: max-age=86400\ncontent-length: 194\ncontent-type: text/html\ndate: Thu, 03 Apr 2025 06:50:06 GMT\netag: ""c2-51112534a1200""\nexpires: Fri, 04 Apr 2025 06:50:06 GMT\nlast-modified: Thu, 12 Mar 2015 07:28:08 GMT\np3p: CP="" OTI DSP COR IVA OUR IND COM ""\nserver: Apache\nset-cookie: BAIDUID=A11BAD640137B61DF4D463482097787E:FG=1; expires=Fri, 03-Apr-26 06:50:06 GMT; max-age=31536000; path=/; domain=.baidu.com; version=1\nvary: Accept-Encoding,User-Agent\n",true,发现4个指纹
https://www.360.com,200,360官网 -360安全中心 - 360安全软件 - 360智能硬件 - 360智能家居 - 360企业服务,nginx,[finger demo，finger demo，finger demo],[1，5，4],"HTTP/1.1 404 Not Found\nServer: nginx\ncontent-length: 564\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:50:07 GMT\nserver: nginx\n",true,发现3个指纹
https://www.sougou.com,200,搜狗宠物天下,,[finger demo，finger demo，finger demo],[1，5，4],"HTTP/1.1 403 Forbidden\ncontent-length: 251\ncontent-type: text/html; charset=utf-8\ndate: Thu, 03 Apr 2025 06:50:07 GMT\nretry-after: 5\nserver: Varnish\nx-cache: synth synth\nx-varnish: 6723394\n",true,发现3个指纹
https://www.baidu.com,200,,BWS/1.1,[finger demo，finger demo，finger demo，finger demo],[1，5，4，3],"HTTP/1.1 200 OK\nServer: BWS/1.1\naccept-ranges: bytes\ncache-control: max-age=86400\ncontent-length: 194\ncontent-type: text/html\ndate: Thu, 03 Apr 2025 06:50:13 GMT\netag: ""c2-51112534a1200""\nexpires: Fri, 04 Apr 2025 06:50:13 GMT\nlast-modified: Thu, 12 Mar 2015 07:28:08 GMT\np3p: CP="" OTI DSP COR IVA OUR IND COM ""\nserver: Apache\nset-cookie: BAIDUID=DC8C35209DC5266AC9100861CDFE71C3:FG=1; expires=Fri, 03-Apr-26 06:50:13 GMT; max-age=31536000; path=/; domain=.baidu.com; version=1\nvary: Accept-Encoding,User-Agent\n",true,发现4个指纹
